Shop_name,Products,Chart_Performance,Rating,Followers,Rating_bad,Rating_good,Rating_normal
Online Baby Wear,1160,65,4.91618,151525,700,193608,3130
suraya shoppe,30,95,4.968872,5607,0,1438,8
Grace’s Wardrobe (Wholesale),521,98,4.924194,43193,28,12653,181
Yeen's Collections,55,85,4.995731,4593,0,1050,0
Jashion,9,99,4.923493,47422,17,5926,95
Bundle Viral,65,84,4.956747,44287,27,13578,89
Haa.murahshop,12,100,4.938621,4666,8,9528,120
Mister Watch,176,100,4.936527,5569,23,15660,207
Syafa Watie,45,95,4.938462,6919,5,2275,22
Marchever,364,95,4.893575,241608,3704,636071,12841
凭栏处PLC.NG,277,81,4.714947,13807,172,7295,459
SWAN FASHION,150,97,4.954861,1155,10,7777,61
JUJUshop.co,11,90,4.985212,23056,0,4774,9
Pause Studio Official,38,96,4.946674,11308,3,2640,29
Arish Collection,774,76,4.939815,9635,16,3004,26
YJ Fashion,558,99,4.818936,5845,60,5728,244
deyane,18,99,4.974046,28213,3,4798,18
NK DENIM HOUSE,56,74,4.783302,12580,626,30919,1403
sweethome4u.my,278,76,4.868765,5910,77,9444,258
syaifa.shop,11,92,4.9705,34257,5,5541,17
SHININGSSHOP,101,88,4.669143,71818,703,25754,1916
Mix Mix Collection,145,94,4.87468,32496,721,94041,2440
Home Decor Go 123,87,51,4.853413,12347,390,30466,774
Sesong.my,392,85,4.834748,33556,121,13763,497
NBEE Fashion,71,96,4.96989,22865,5,11841,57
Gempak Gemilang,11,96,4.97916,45118,3,4122,12
SQ Fashion MY,58,98,4.93526,14080,15,11308,132
THEFIA.THRIFT,13,90,4.954058,32236,19,6810,54
Nur_Jalis,2,97,4.959477,1677,0,1069,10
FantasticStore.my,249,98,4.930977,25175,210,56867,744
JoannaM,596,94,4.77569,44869,215,17690,963
Tsyon office store,153,96,4.876842,17595,218,31705,680
I Lavie Fashion,33,89,4.960452,25595,3,3766,25
MM Craft Clothing Workshop,400,97,4.83729,7174,50,4792,177
Topfashion123,8,94,4.915863,828,1,1186,21
KL online seller,79,38,4.891741,3834,154,22144,463
Tgshop.collection,115,91,4.884146,11156,22,2866,76
Malaysia House ,445,97,4.852404,32347,323,51970,1809
NiaShop❤️,6,87,4.934706,12300,4,2396,29
Sq Online 27,47,99,4.977591,2361,0,494,1
jondrins.my,63,13,4.891925,1912,27,5694,133
ikon-(Blouse bra Pyjamas dress),4133,93,4.826944,153388,3777,315446,11478
goodlifes.my,168,73,4.826241,221,7,821,38
Usexy,39,93,4.853238,4052,106,12429,417
Lanbo Shop,280,99,4.894031,56777,467,87959,1930
R&C by KUI FASHION,313,97,4.906661,4243,47,11463,216
Wardahku,40,100,4.888876,27835,141,25983,555
Happy Parcel,148,100,4.888108,41418,695,142821,3071
Formiko,510,92,4.872025,51547,1113,185425,4571
YAMMY亚米 (whale1688),75,100,4.754805,43805,738,41268,2216
MUM STORE,38,94,4.937886,1758,13,5312,62
Syasya Wardrobe Exclusive HQ,16,75,4.949541,2545,0,2343,23
bumblebee1688,236,98,4.866827,75221,471,74739,2293
paradise_kiss.my,252,98,4.891304,11902,45,8613,213
baju tidur Perempuan,181,97,4.900741,6403,23,8257,201
pridebra.my,224,98,4.877426,11710,318,62164,1751
All of me Bra Underwear,417,82,4.879721,21710,262,39669,1074
RM Fashion,197,90,4.734244,1747,62,2183,120
All Cutiest Item,34,98,4.840526,1123,25,3672,140
SILVERCLAP,26,99,4.900474,581,4,1085,21
goldendiamond,137,87,4.863907,16785,240,35650,1012
e_morestore,266,82,4.834891,13746,293,29742,1066
d5sblvm34d,773,92,4.862731,2346,38,6951,236
doubleping.my,233,92,4.839537,17098,154,22154,863
Style Up Fashion,274,67,4.90633,55799,225,57212,1032
mayleebiz,133,100,4.902091,10815,370,85220,1617
Angelian Shop,273,85,4.980081,53694,19,29213,91
Preloved_bySZ,9,99,4.96826,16674,0,3348,20
DZ Bra Panties Shop,149,96,4.876763,10784,263,42678,1148
96JoeyFashion,183,99,4.922186,9026,41,17520,269
FullCoverMart,540,88,4.874187,73968,1624,187926,4590
StudioLands,40,98,4.883253,20610,143,27576,660
baiji.my,59,97,4.867969,2361,73,12168,381
beauforme,85,91,4.943884,1189,16,6242,60
sherenelim44,23,56,4.898305,5313,29,11495,255
1l5m7avv8g,14,97,4.888101,1906,4,2548,81
mysteryoffemale,900,99,4.887199,68749,530,100214,2419
FST Perfect 10,121,100,4.894429,14651,98,19424,387
